subject_id	subject_label	predicate_id	object_id	mapping_justification	confidence	comment
MONDO:0010958	cardiac arrhythmia, ankyrin-B-related	oboInOwl:hasDbXref	DOID:0111701	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010958	cardiac arrhythmia, ankyrin-B-related	skos:exactMatch	DOID:0111701	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0003680	periosteal chondrosarcoma	skos:exactMatch	DOID:5859	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0003680	periosteal chondrosarcoma	oboInOwl:hasDbXref	DOID:5859	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0014076	dyskeratosis congenita, autosomal recessive 5	oboInOwl:hasDbXref	DOID:0070020	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0014076	dyskeratosis congenita, autosomal recessive 5	skos:relatedMatch	DOID:0070020	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0015541	genetic hemophagocytic lymphohistiocytosis	skos:exactMatch	Orphanet:540	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0018523	pancreatic mucinous cystadenoma	skos:exactMatch	DOID:7235	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0018523	pancreatic mucinous cystadenoma	oboInOwl:hasDbXref	DOID:7235	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0003061	benign muscle neoplasm	skos:exactMatch	DOID:461	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0003061	benign muscle neoplasm	oboInOwl:hasDbXref	DOID:461	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0013127	asphyxiating thoracic dystrophy 3	skos:exactMatch	Orphanet:93271	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010663	intellectual disability-hypotonic facies syndrome, X-linked, 1	skos:exactMatch	Orphanet:93974	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005575	colorectal cancer	oboInOwl:hasDbXref	DOID:9256	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005575	colorectal cancer	skos:exactMatch	DOID:9256	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005185	chronic childhood arthritis	oboInOwl:hasDbXref	DOID:6776	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010811	benign prostatic hyperplasia	oboInOwl:hasDbXref	DOID:2883	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005823	legionellosis	skos:exactMatch	Orphanet:549	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0015912	macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss	skos:exactMatch	Orphanet:807	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0011362	myopathy, myofibrillar, 9, with early respiratory failure	skos:exactMatch	Orphanet:34521	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0006639	adrenal cortex carcinoma	oboInOwl:hasDbXref	DOID:3959	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0006639	adrenal cortex carcinoma	skos:exactMatch	DOID:3959	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0009288	glycogen storage disease Ib	skos:exactMatch	OMIM:232240	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0016672	hereditary persistence of fetal hemoglobin-sickle cell disease syndrome	skos:relatedMatch	OMIM:142470	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0016526	trisomy 9p	skos:exactMatch	Orphanet:262767	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0019004	kidney Wilms tumor	skos:exactMatch	DOID:2154	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0019004	kidney Wilms tumor	oboInOwl:hasDbXref	DOID:2154	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005184	pancreatic ductal adenocarcinoma	oboInOwl:hasDbXref	DOID:3498	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005184	pancreatic ductal adenocarcinoma	skos:exactMatch	DOID:3498	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0018098	autosomal dominant limb-girdle muscular dystrophy type 1E (DES)	oboInOwl:hasDbXref	DOID:0110305	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0014806	spinal muscular atrophy with congenital bone fractures 1	skos:exactMatch	OMIM:271225	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010936	frontotemporal dementia and/or amyotrophic lateral sclerosis 7	oboInOwl:hasDbXref	DOID:0111227	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010936	frontotemporal dementia and/or amyotrophic lateral sclerosis 7	skos:exactMatch	DOID:0111227	semapv:UnspecifiedMatching	0.8	UNIQUE_1
